contest,"比賽<br>競賽<br><div style=""text-align: right"">N
</div>"
contest,"競爭<br>角逐<br>爭奪(權力)<br>駁斥<br>對…提出質疑<br><div style=""text-align: right"">V
</div>"
contract,"收縮<br>訂契約<br>感染疾病<br><div style=""text-align: right"">V
</div>"
contract,"合約<br><div style=""text-align: right"">N
</div>"
contractor,"立約人<br>承包商<br><div style=""text-align: right"">N
</div>"
contradict,"反駁<br>與…矛盾<br>與...牴觸<br><div style=""text-align: right"">V
</div>"
contribute,"捐助<br>貢獻<br>有助於<br>投稿<br><div style=""text-align: right"">V
</div>"
controversy,"爭論<br><div style=""text-align: right"">N
</div>"
convention,"大會<br>慣例習俗<br>公約<br>協定<br><div style=""text-align: right"">N
</div>"
convey,"表達<br>運送<br><div style=""text-align: right"">V
</div>"
convict,"宣判有罪<br>判決<br><div style=""text-align: right"">V
</div>"
convict,"因犯<br><div style=""text-align: right"">N
</div>"
coordinate,"協調<br><div style=""text-align: right"">V
</div>"
cord,"帶子<br>細繩<br><div style=""text-align: right"">N
</div>"
corporation,"股份公司<br><div style=""text-align: right"">N
</div>"
counseling,"諮商<br><div style=""text-align: right"">N
</div>"
counselor,"諮商師<br><div style=""text-align: right"">N
</div>"
courteous,"客氣的<br>有禮貌的<br><div style=""text-align: right"">adj
</div>"
cosmetic,"美容的<br>虛飾的<br><div style=""text-align: right"">adj
</div>"
cosmetics,"化粧品<br><div style=""text-align: right"">N
</div>"
cosmopolitan,"世界性的<br><div style=""text-align: right"">adj
</div>"
councilor,"議會議員<br><div style=""text-align: right"">N
</div>"
councilman,"議員<br><div style=""text-align: right"">N
</div>"
counsel,"建議<br>勸告<br><div style=""text-align: right"">N-UC
</div>"
covet,"垂涎<br><div style=""text-align: right"">V
</div>"
cozy,"舒適的<br><div style=""text-align: right"">adj
</div>"
craze,"狂熱<br>風尚<br><div style=""text-align: right"">N
</div>"
credible,"可信的<br><div style=""text-align: right"">adj
</div>"
creek,"小河<br><div style=""text-align: right"">N
</div>"
crossroads,"交叉路<br>轉捩點<br>重大抉擇時刻<br><div style=""text-align: right"">N
</div>"
cross,"穿越<br>交叉<br>(念頭)閃現<br>想起<br>與...作對<br><div style=""text-align: right"">V
</div>"
cross,"十字架<br>叉號<br>混合物<br><div style=""text-align: right"">N
</div>"
cross,"惱怒的<br><div style=""text-align: right"">adj</div>"
